line,FeatureID,vendor,tool,ILIRStartDate,status,type,ILIFSurfaceInd,chainage_m,depth_fraction,length_mm,width_mm,vendor_cgr_mmpyr,vendor_cgr_sd,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,coating_type,incubation_yrs,MAOP_kPa
NPS 16 FOX CREEK,6406692,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6286.6969,0.06,65,65,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406693,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6297.5999,0.06,88,88,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406694,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6346.0715,0.05,287,287,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406695,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6310.159,0.05,37,37,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406696,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6311.5917,0.05,92,92,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406697,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6344.6139,0.05,37,37,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406698,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6399.3547,0.06,40,40,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406699,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6330.5297,0.07,70,70,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406700,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6282.968,0.05,60,60,,,16,9.53,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406701,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6228.1294,0.1,14,14,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406702,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6378.8148,0.05,39,39,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406703,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6336.7701,0.11,41,41,,,16,9.53,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406704,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6332.6397,0.08,17,17,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406705,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6283.7908,0.07,102,102,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406706,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6356.5339,0.05,17,17,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_ROCKSHIELD,0,9930
NPS 16 FOX CREEK,6406707,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6384.0616,0.05,14,14,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_ROCKSHIELD,0,9930
NPS 16 FOX CREEK,6406708,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6481.5398,0.05,44,44,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406709,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6661.1283,0.06,41,41,,,16,7.11,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
NPS 16 FOX CREEK,6406710,Baker Hughes,MFL,2018-11-27 12:00:00,Active,Metal loss,E,6560.0878,0.05,19,19,,,16,9.53,483,,2017-02-01 12:00:00,EPOXY-EP_UNKNOWN,0,9930
