Cell Label,Matrix 'Consequence' Label,Matrix 'Probability' Label,Legend Label,Line Name,Begin Measure (m),End Measure (m),Length (m)
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,22402.641,22403.653,1.012
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,23003.483,23033.474,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,24563.041,24593.033,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,24712.999,24726.378,13.379
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,24726.378,24742.99,16.612
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,25252.846,25282.837,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,27382.242,27398.08,15.838
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,27398.08,27398.634,0.554
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,27398.634,27412.234,13.6
7,III,Frequent,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,28611.894,28616.463,4.569
7,III,Frequent,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,28616.463,28641.886,25.423
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,29061.767,29091.758,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,37249.447,37279.439,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,37879.269,37889.382,10.113
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,37889.382,37895.882,6.5
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,37895.882,37909.26,13.378
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,38599.065,38599.972,0.907
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,38599.972,38629.056,29.084
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,40278.589,40284.422,5.833
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,40284.422,40284.521,0.099
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,40284.521,40288.495,3.974
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,40288.495,40288.594,0.099
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,40288.594,40296.882,8.288
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,40296.882,40308.58,11.698
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,42198.045,42228.037,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,42977.824,43007.816,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,43397.705,43427.697,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,43457.688,43468.374,10.686
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,43468.374,43475.464,7.09
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,43475.464,43487.68,12.216
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,44447.408,44477.399,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,45707.051,45737.042,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,45767.034,45797.025,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,46546.813,46552.254,5.441
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,46552.254,46576.805,24.551
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,47416.567,47446.558,29.992
