LineName,BeginStationSeriesId,BeginStationNum,EndStationSeriesId,EndStationNum,tablename
LS7108,237,60.957,237,62.748,COVERDEPTH
LS7108,237,62.748,237,64.362,COVERDEPTH
LS7108,237,64.362,237,66.481,COVERDEPTH
LS7108,237,66.481,237,68.824,COVERDEPTH
LS7108,237,68.824,237,69.941,COVERDEPTH
LS7108,237,69.941,237,70.924,COVERDEPTH
LS7108,237,70.924,237,73.154,COVERDEPTH
LS7108,237,73.154,237,75.929,COVERDEPTH
LS7108,237,75.929,237,78.629,COVERDEPTH
LS7108,237,78.629,237,80.775,COVERDEPTH
LS7108,237,80.775,237,83.42,COVERDEPTH
LS7108,237,83.42,237,85.054,COVERDEPTH
LS7108,237,85.054,237,86.858,COVERDEPTH
LS7108,237,86.858,237,88.629,COVERDEPTH
LS7108,237,88.629,237,90.209,COVERDEPTH
LS7108,237,90.209,237,92.884,COVERDEPTH
LS7108,237,92.884,237,95.426,COVERDEPTH
LS7108,237,95.426,237,97.66,COVERDEPTH
LS7108,237,97.66,237,98.633,COVERDEPTH
LS7108,237,98.633,237,101.356,COVERDEPTH
LS7108,237,101.356,237,111.575,COVERDEPTH
LS7108,237,111.575,237,123.323,COVERDEPTH
LS7108,237,123.323,237,132.267,COVERDEPTH
LS7108,237,132.267,237,140.3,COVERDEPTH
LS7108,237,140.3,237,142.796,COVERDEPTH
LS7108,237,142.796,237,144.077,COVERDEPTH
LS7108,237,144.077,237,145.691,COVERDEPTH
LS7108,237,145.691,237,149.185,COVERDEPTH
LS7108,237,149.185,237,154.685,COVERDEPTH
LS7108,237,154.685,237,160.78,COVERDEPTH
LS7108,237,160.78,237,166.277,COVERDEPTH
LS7108,237,166.277,237,169.728,COVERDEPTH
LS7108,237,169.728,237,172.327,COVERDEPTH
LS7108,237,172.327,237,174.857,COVERDEPTH
LS7108,237,174.857,237,177.337,COVERDEPTH
LS7108,237,177.337,237,180.94201,COVERDEPTH
LS7108,237,180.94201,237,188.2,COVERDEPTH
LS7108,237,188.2,237,199.163,COVERDEPTH
LS7108,237,199.163,237,206.42201,COVERDEPTH
LS7108,237,206.42201,237,208.925,COVERDEPTH
LS7108,237,208.925,237,212.44501,COVERDEPTH
LS7108,237,212.44501,237,215.95,COVERDEPTH
LS7108,237,215.95,237,218.246,COVERDEPTH
LS7108,237,218.246,237,221.62701,COVERDEPTH
LS7108,237,221.62701,237,226.21701,COVERDEPTH
LS7108,237,226.21701,237,228.72201,COVERDEPTH
LS7108,237,228.72201,237,231.00801,COVERDEPTH
LS7108,237,231.00801,237,235.37201,COVERDEPTH
LS7108,237,235.37201,237,239.40601,COVERDEPTH
LS7108,237,239.40601,237,241.69201,COVERDEPTH
LS7108,237,241.69201,237,244.51901,COVERDEPTH
LS7108,237,244.51901,237,249.095,COVERDEPTH
LS7108,237,249.095,237,252.33101,COVERDEPTH
LS7108,237,252.33101,237,254.61801,COVERDEPTH
LS7108,237,254.61801,237,258.24401,COVERDEPTH
LS7108,237,258.24401,237,262.81601,COVERDEPTH
LS7108,237,262.81601,237,265.30801,COVERDEPTH
LS7108,237,265.30801,237,267.59401,COVERDEPTH
LS7108,237,267.59401,237,271.95801,COVERDEPTH
LS7108,237,271.95801,237,275.94701,COVERDEPTH
LS7108,237,275.94701,237,278.11901,COVERDEPTH
LS7108,237,278.11901,237,278.68401,COVERDEPTH
LS7108,237,278.68401,237,279.95401,COVERDEPTH
LS7108,237,279.95401,237,282.23901,COVERDEPTH
LS7108,237,282.23901,237,283.58601,COVERDEPTH
LS7108,237,283.58601,237,285.87101,COVERDEPTH
LS7108,237,285.87101,237,288.93001,COVERDEPTH
LS7108,237,288.93001,237,291.21501,COVERDEPTH
LS7108,237,291.21501,237,294.80601,COVERDEPTH
LS7108,237,294.80601,237,299.37601,COVERDEPTH
LS7108,237,299.37601,237,304.20301,COVERDEPTH
LS7108,237,304.20301,237,308.51701,COVERDEPTH
LS7108,237,308.51701,237,312.27001,COVERDEPTH
LS7108,237,312.27001,237,315.37101,COVERDEPTH
LS7108,237,315.37101,237,315.65701,COVERDEPTH
LS7108,237,315.65701,237,317.94001,COVERDEPTH
LS7108,237,317.94001,237,320.69501,COVERDEPTH
LS7108,237,320.69501,237,322.91901,COVERDEPTH
LS7108,237,322.91901,237,325.51401,COVERDEPTH
LS7108,237,325.51401,237,327.01301,COVERDEPTH
LS7108,237,327.01301,237,328.21901,COVERDEPTH
LS7108,237,328.21901,237,331.34001,COVERDEPTH
LS7108,237,331.34001,237,337.03301,COVERDEPTH
LS7108,237,337.03301,237,337.69201,COVERDEPTH
LS7108,237,337.69201,237,338.51301,COVERDEPTH
LS7108,237,338.51301,237,339.08901,COVERDEPTH
LS7108,237,339.08901,237,344.24501,COVERDEPTH
LS7108,237,344.24501,237,346.52901,COVERDEPTH
LS7108,237,346.52901,237,349.13101,COVERDEPTH
LS7108,237,349.13101,237,356.07301,COVERDEPTH
LS7108,237,356.07301,237,362.15801,COVERDEPTH
LS7108,237,362.15801,237,373.33701,COVERDEPTH
LS7108,237,373.33701,237,381.21401,COVERDEPTH
LS7108,237,381.21401,237,391.48701,COVERDEPTH
LS7108,237,391.48701,237,403.40801,COVERDEPTH
LS7108,237,403.40801,237,423.26301,COVERDEPTH
LS7108,237,423.26301,237,438.17001,COVERDEPTH
LS7108,237,438.17001,237,446.46501,COVERDEPTH
LS7108,237,446.46501,237,453.49101,COVERDEPTH
LS7108,237,453.49101,237,456.45501,COVERDEPTH
LS7108,237,456.45501,237,461.40701,COVERDEPTH
LS7108,237,461.40701,237,465.34401,COVERDEPTH
LS7108,237,465.34401,237,466.86301,COVERDEPTH
LS7108,237,466.86301,237,469.18601,COVERDEPTH
LS7108,237,469.18601,237,471.58101,COVERDEPTH
LS7108,237,471.58101,237,474.27801,COVERDEPTH
LS7108,237,474.27801,237,482.44102,COVERDEPTH
LS7108,237,482.44102,237,501.20201,COVERDEPTH
LS7108,237,501.20201,237,524.89302,COVERDEPTH
LS7108,237,524.89302,237,548.60601,COVERDEPTH
LS7108,237,548.60601,237,571.77302,COVERDEPTH
LS7108,237,571.77302,237,594.57302,COVERDEPTH
LS7108,237,594.57302,237,618.37102,COVERDEPTH
LS7108,237,618.37102,237,642.49602,COVERDEPTH
LS7108,237,642.49602,237,666.72402,COVERDEPTH
LS7108,237,666.72402,237,682.45602,COVERDEPTH
LS7108,237,682.45602,237,687.97002,COVERDEPTH
LS7108,237,687.97002,237,690.39802,COVERDEPTH
LS7108,237,690.39802,237,692.54902,COVERDEPTH
LS7108,237,692.54902,237,695.34102,COVERDEPTH
LS7108,237,695.34102,237,699.83302,COVERDEPTH
LS7108,237,699.83302,237,708.86602,COVERDEPTH
LS7108,237,708.86602,237,715.81802,COVERDEPTH
LS7108,237,715.81802,237,721.63402,COVERDEPTH
LS7108,237,721.63402,237,727.87702,COVERDEPTH
LS7108,237,727.87702,237,733.47502,COVERDEPTH
LS7108,237,733.47502,237,744.46802,COVERDEPTH
LS7108,237,744.46802,237,751.40502,COVERDEPTH
LS7108,237,751.40502,237,752.57502,COVERDEPTH
LS7108,237,752.57502,237,753.96902,COVERDEPTH
LS7108,237,753.96902,237,755.15002,COVERDEPTH
LS7108,237,755.15002,237,759.75102,COVERDEPTH
LS7108,237,759.75102,237,765.65502,COVERDEPTH
LS7108,237,765.65502,237,771.22302,COVERDEPTH
LS7108,237,771.22302,237,778.18002,COVERDEPTH
LS7108,237,778.18002,237,790.08702,COVERDEPTH
LS7108,237,790.08702,237,810.33102,COVERDEPTH
LS7108,237,810.33102,237,833.93303,COVERDEPTH
LS7108,237,833.93303,237,857.88503,COVERDEPTH
LS7108,237,857.88503,237,873.51603,COVERDEPTH
LS7108,237,873.51603,237,879.21403,COVERDEPTH
LS7108,237,879.21403,237,880.84803,COVERDEPTH
LS7108,237,880.84803,237,882.66603,COVERDEPTH
LS7108,237,882.66603,237,883.92303,COVERDEPTH
LS7108,237,883.92303,237,885.61403,COVERDEPTH
LS7108,237,885.61403,237,890.36303,COVERDEPTH
LS7108,237,890.36303,237,903.66903,COVERDEPTH
LS7108,237,903.66903,237,925.58103,COVERDEPTH
LS7108,237,925.58103,237,928.44903,COVERDEPTH
LS7108,237,928.44903,237,931.16503,COVERDEPTH
LS7108,237,931.16503,237,933.68803,COVERDEPTH
LS7108,237,933.68803,237,936.58403,COVERDEPTH
LS7108,237,936.58403,237,943.08103,COVERDEPTH
LS7108,237,943.08103,237,949.41103,COVERDEPTH
LS7108,237,949.41103,237,951.96603,COVERDEPTH
LS7108,237,951.96603,237,956.73703,COVERDEPTH
LS7108,237,956.73703,237,958.94203,COVERDEPTH
LS7108,237,958.94203,237,964.86903,COVERDEPTH
LS7108,237,964.86903,237,971.61603,COVERDEPTH
LS7108,237,971.61603,237,974.79803,COVERDEPTH
LS7108,237,974.79803,237,977.10703,COVERDEPTH
LS7108,237,977.10703,237,979.26203,COVERDEPTH
LS7108,237,979.26203,237,981.72203,COVERDEPTH
LS7108,237,981.72203,237,985.17403,COVERDEPTH
LS7108,237,985.17403,237,992.31103,COVERDEPTH
LS7108,237,992.31103,237,998.68303,COVERDEPTH
LS7108,237,998.68303,237,1001.10103,COVERDEPTH
LS7108,237,1001.10103,237,1003.36603,COVERDEPTH
LS7108,237,1003.36603,237,1005.69303,COVERDEPTH
LS7108,237,1005.69303,237,1017.11203,COVERDEPTH
LS7108,237,1017.11203,237,1024.77303,COVERDEPTH
LS7108,237,1024.77303,237,1028.29203,COVERDEPTH
LS7108,237,1028.29203,237,1031.75903,COVERDEPTH
LS7108,237,1031.75903,237,1034.34103,COVERDEPTH
LS7108,237,1034.34103,237,1037.41403,COVERDEPTH
LS7108,237,1037.41403,237,1043.02503,COVERDEPTH
LS7108,237,1043.02503,237,1046.70703,COVERDEPTH
LS7108,237,1046.70703,237,1051.33803,COVERDEPTH
LS7108,237,1051.33803,237,1057.35903,COVERDEPTH
LS7108,237,1057.35903,237,1062.81403,COVERDEPTH
LS7108,237,1062.81403,237,1068.91703,COVERDEPTH
LS7108,237,1068.91703,237,1072.10603,COVERDEPTH
LS7108,237,1072.10603,237,1073.10503,COVERDEPTH
LS7108,237,1073.10503,237,1077.72003,COVERDEPTH
LS7108,237,1077.72003,237,1082.57503,COVERDEPTH
LS7108,237,1082.57503,237,1089.59503,COVERDEPTH
LS7108,237,1089.59503,237,1101.82703,COVERDEPTH
LS7108,237,1101.82703,237,1109.64603,COVERDEPTH
LS7108,237,1109.64603,237,1115.22403,COVERDEPTH
LS7108,237,1115.22403,237,1119.68203,COVERDEPTH
LS7108,237,1119.68203,237,1124.02203,COVERDEPTH
LS7108,237,1124.02203,237,1129.62503,COVERDEPTH
LS7108,237,1129.62503,237,1132.48004,COVERDEPTH
LS7108,237,1132.48004,237,1137.39404,COVERDEPTH
LS7108,237,1137.39404,237,1142.40904,COVERDEPTH
LS7108,237,1142.40904,237,1147.49104,COVERDEPTH
LS7108,237,1147.49104,237,1159.54503,COVERDEPTH
LS7108,237,1159.54503,237,1171.17504,COVERDEPTH
LS7108,237,1171.17504,237,1183.13004,COVERDEPTH
LS7108,237,1183.13004,237,1200.90604,COVERDEPTH
LS7108,237,1200.90604,237,1212.85004,COVERDEPTH
LS7108,237,1212.85004,237,1216.74904,COVERDEPTH
LS7108,237,1216.74904,237,1227.08204,COVERDEPTH
LS7108,237,1227.08204,237,1248.16504,COVERDEPTH
LS7108,237,1248.16504,237,1272.03204,COVERDEPTH
LS7108,237,1272.03204,237,1294.65104,COVERDEPTH
LS7108,237,1294.65104,237,1310.08704,COVERDEPTH
LS7108,237,1310.08704,237,1316.29304,COVERDEPTH
LS7108,237,1316.29304,237,1318.96804,COVERDEPTH
