line,id,vendor,US_GWD_number,DS_GWD_number,tool,ILIRStartDate,status,type,vendor_comment,feature_number,feature_ODO,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,install_date,toughness_J,MAOP_kPa,begin_PS,end_PS,begin_VTS,end_VTS,begin_maop,end_maop,start_ILI_segment_m,end_ILI_segment_m
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102614,Rosen,70,80,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000156,32.737,31.728,0.44,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102613,Rosen,70,80,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000157,33.303,32.282,0.33,46,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102612,Rosen,80,81,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000173,50.19,48.655,0.17,72,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102611,Rosen,150,160,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000225,115.762,113.859,0.31,76,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102610,Rosen,190,200,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000248,173.531,171.559,0.27,34,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102609,Rosen,210,220,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000266,196.641,194.637,0.33,94,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102608,Rosen,210,220,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000270,207.665,205.648,0.28,44,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102607,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000281,216.776,214.748,0.28,58,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102606,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000293,223.069,221.033,0.28,40,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102605,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000294,223.467,221.431,0.3,76,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102604,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000298,225.207,223.169,0.32,58,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102603,Rosen,220,230,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000304,227.692,225.651,0.28,92,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102602,Rosen,230,240,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000319,239.274,237.219,0.28,48,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102601,Rosen,230,240,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000368,246.086,244.023,0.28,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102600,Rosen,240,250,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000422,263.488,261.406,0.34,46,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102599,Rosen,250,260,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000428,269.023,266.934,0.35,60,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102598,Rosen,250,260,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000433,270.508,268.418,0.33,40,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102597,Rosen,250,260,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000458,278.032,275.933,0.28,56,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102596,Rosen,260,270,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000534,303.359,301.227,0.34,141,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102595,Rosen,330,340,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000575,387.335,385.098,0.32,64,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102594,Rosen,350,360,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000596,407.046,404.784,0.27,34,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102593,Rosen,370,380,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000644,424.302,422.016,0.32,74,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102592,Rosen,370,380,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000647,430.076,427.781,0.32,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102591,Rosen,390,400,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000685,460.777,458.446,0.31,34,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102590,Rosen,400,410,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000697,472.576,470.232,0.27,87,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102589,Rosen,430,440,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000733,514.629,512.238,0.32,54,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102588,Rosen,430,440,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000740,517.452,515.057,0.33,62,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102587,Rosen,430,440,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000765,523.673,521.268,0.31,44,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102586,Rosen,450,460,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000781,546.69,544.256,0.3,98,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102585,Rosen,450,460,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000796,552.709,550.268,0.27,52,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102584,Rosen,450,460,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000799,555.411,552.967,0.41,92,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102583,Rosen,460,470,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000817,573.835,571.367,0.29,28,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102582,Rosen,480,490,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000831,619.085,616.548,0.38,70,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102581,Rosen,480,490,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000832,621.7,619.16,0.26,96,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102580,Rosen,510,520,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000876,660.04,657.423,0.27,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102579,Rosen,510,520,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000877,665.471,662.833,0.32,54,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102578,Rosen,520,530,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000883,678.442,675.767,0.3,40,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102577,Rosen,520,530,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000911,684.022,681.34,0.27,34,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102576,Rosen,540,550,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000948,726.563,723.804,0.29,72,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102575,Rosen,560,570,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000960,762.867,760.046,0.34,78,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102574,Rosen,570,580,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000970,779.194,776.351,0.42,56,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102573,Rosen,570,580,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0000972,779.664,776.82,0.41,50,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102572,Rosen,620,630,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001037,878.238,875.096,0.29,30,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102571,Rosen,630,640,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001039,884.326,881.164,0.27,38,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102570,Rosen,640,650,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001050,907.829,904.59,0.32,48,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102569,Rosen,640,650,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001051,913.152,909.897,0.29,62,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102568,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001053,917.173,913.906,0.41,54,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102567,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-0000001,917.321,914.053,0.34,66,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102566,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001068,919.363,916.083,0.33,66,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102565,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001076,920.723,917.435,0.26,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102564,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001082,922.321,919.024,0.47,90,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102563,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,"Long seam anomaly | intermittent, int/ext",ANOM-9999999,922.567,919.269,0.37,1520,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102562,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-0000002,924.2,920.893,0.42,600,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102561,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001111,925.26,921.946,0.28,54,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102560,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001112,926.087,922.769,0.32,42,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102559,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001113,926.205,922.886,0.27,70,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102558,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001114,927.161,923.837,0.32,68,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102557,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly | int/ext,0000-0001117,927.995,924.666,0.33,44,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102556,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-0000003,928.119,924.789,0.28,78,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102555,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001122,929.753,926.414,0.28,24,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102554,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly | int/ext,ANOM-0000005,929.983,926.643,0.41,315,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102553,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly | intermittent,ANOM-0000006,931.395,928.046,0.44,812,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102552,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-9999995,932.343,928.989,0.24,31,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102551,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-9999993,932.541,929.186,0.27,86,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102550,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-0000004,932.682,929.326,0.23,74,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102549,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,ANOM-9999987,932.804,929.447,0.43,99,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102548,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,"Long seam anomaly | intermittent, int/ext",ANOM-9999985,932.952,929.595,0.31,187,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102547,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly | int/ext,ANOM-0000007,933.189,929.83,0.29,100,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102546,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001148,934.595,931.228,0.4,60,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102545,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001150,934.883,931.515,0.3,92,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102544,Rosen,650,660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001152,935.603,932.23,0.37,44,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102543,Rosen,670,680,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001193,949.863,946.423,0.33,70,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102542,Rosen,670,680,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001194,950.675,947.231,0.35,36,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102541,Rosen,670,680,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001195,953.828,950.369,0.42,84,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102540,Rosen,680,690,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001223,960.6,957.122,0.37,38,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102539,Rosen,700,710,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001243,974.041,970.545,0.28,82,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102538,Rosen,710,720,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001257,984.599,981.066,0.28,72,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102537,Rosen,710,720,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0000-0001268,989.93,986.366,0.32,82,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102536,Rosen,770,780,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0001-0000973,1032.584,1028.852,0.28,40,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102535,Rosen,770,780,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0001-0000974,1033.193,1029.453,0.29,60,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102534,Rosen,780,790,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0001-0000990,1042.132,1038.272,0.3,52,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,102533,Rosen,780,790,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0001-0001016,1049.605,1045.715,0.34,60,NULL,12.75,7.14,317,1/1/1966,8,9930,0,18026.155,0,157883.725,0,28475.134,0,157883.725
