line,id,vendor,US_GWD_number,DS_GWD_number,tool,ILIRStartDate,status,type,vendor_comment,feature_number,feature_ODO,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,install_date,toughness_J,MAOP_kPa,begin_PS,end_PS,begin_VTS,end_VTS,begin_maop,end_maop,start_ILI_segment_m,end_ILI_segment_m
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100983,Rosen,31300,31310,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000362,46755.264,46580.637,0.39,178,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100982,Rosen,31300,31310,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000364,46755.908,46581.279,0.49,70,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100981,Rosen,31300,31310,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000374,46759.556,46584.915,0.46,76,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100980,Rosen,31300,31310,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000375,46759.666,46585.024,0.45,48,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100979,Rosen,31300,31310,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000389,46770.731,46596.051,0.4,48,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100978,Rosen,31320,31330,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000401,46806.14,46631.331,0.47,62,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100977,Rosen,31410,31420,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0046-0000424,46957.935,46782.603,0.45,50,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100976,Rosen,31530,31540,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000173,47146.037,46969.603,0.5,206,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100975,Rosen,31530,31540,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000213,47159.061,46982.581,0.41,36,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100974,Rosen,31530,31540,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly | int/ext,0047-0000216,47160.637,46984.152,0.45,30,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100973,Rosen,31570,31580,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000285,47224.86,47048.16,0.47,34,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100972,Rosen,31600,31610,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000362,47284.385,47107.464,0.41,40,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100970,Rosen,31600,31610,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000374,47292.868,47115.919,0.4,78,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100969,Rosen,31650,31660,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000452,47385.758,47208.489,0.41,170,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100968,Rosen,31660,31670,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000461,47406.099,47228.758,0.49,82,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100967,Rosen,31730,31740,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000550,47517.809,47340.061,0.43,50,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100966,Rosen,31730,31740,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000567,47528.743,47350.957,0.5,54,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,100965,Rosen,31960,31970,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0047-0000772,47934.477,47754.077,0.4,74,NULL,12.75,4.78,317,1/1/1966,8,6750,40126.343,57909.809,0,157883.725,40126.343,48703.222,0,157883.725
