line,InlineInspectionCrackAnomalyId,vendor,tool,ILIRStartDate,status,type,surface,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,begin_PS,end_PS,MAOP_kPa,begin_maop,end_maop
pipeline,1021200,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61155.17892,0.24,28,28,12.75,6.35,317,17.6,1955-01-01 12:00:00,,61441.3,8270,16541.42,61441.3
pipeline,1021221,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61156.17892,0.28,23,23,12.75,6.35,290,17.6,1955-01-01 12:00:00,,61441.3,7310,16541.42,61441.3
pipeline,1021246,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61157.17892,0.1,24,24,12.75,4.47,290,17.6,1955-01-01 12:00:00,,61441.3,7310,16541.42,61441.3
pipeline,1021269,Rosen,AFD,2016-02-19 12:00:00,,Long Seam Weld Anomaly,E,61158.17892,0.18,62,62,12.75,6.35,290,17.6,1955-01-01 12:00:00,,61441.3,7310,16541.42,61441.3
pipeline,1023538,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61159.17892,0.16,46,46,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1023540,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61160.17892,0.1,65,65,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1023541,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61161.17892,0.12,41,41,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1023542,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61162.17892,0.11,40,40,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1023543,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61163.17892,0.1,47,47,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1023544,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61164.17892,0.14,30,30,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1023545,Rosen,AFD,2016-05-25 12:00:00,,Long Seam Weld Anomaly,E,61165.17892,,122,122,12.75,5.1562,317,17.6,1960-01-01 12:00:00,,61441.3,8080,16541.42,61441.3
pipeline,1527321,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61166.17892,0.1521,351,351,10.75,7.7978,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527337,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61167.17892,0.2888,94,94,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527339,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61168.17892,0.2461,28,28,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527346,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61169.17892,0.2326,54,54,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527354,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61170.17892,0.25,42,42,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527359,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61171.17892,0.3837,34,34,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527360,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61172.17892,0.3081,34,34,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527367,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61173.17892,0.2422,83,83,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527372,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61174.17892,0.186,200,200,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527377,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61175.17892,0.1899,80,80,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527379,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61176.17892,0.2074,100,100,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527380,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61177.17892,0.3043,53,53,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527382,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61178.17892,0.3508,37,37,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527383,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61179.17892,0.2422,28,28,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527384,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61180.17892,0.2674,65,65,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527386,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61181.17892,0.2558,102,102,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527387,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61182.17892,0.2597,102,102,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527390,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61183.17892,0.2364,54,54,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527391,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61184.17892,0.2364,60,60,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527393,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61185.17892,0.1996,167,167,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527396,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61186.17892,0.2597,41,41,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527397,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61187.17892,0.2597,29,29,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527400,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61188.17892,0.2539,51,51,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527405,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61189.17892,0.25,56,56,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
